Standard,Level,Last Edit
PEP8 is the Default Standard,Hard,"April 5, 2023 6:28 PM"
Library Imports are Used & Placed at Top,Hard,"April 5, 2023 6:28 PM"
"Library Imports Format & Organization ",Hard,"April 5, 2023 6:26 PM"
Avoid Wildcard Imports,Hard,"April 5, 2023 6:26 PM"
Remove Unused and Hardcoded Variables,Hard,"April 5, 2023 6:26 PM"
"Docstring Format, Type Hinting and Default Arguments",Hard,"April 5, 2023 6:26 PM"
Comments & Code Line Breaks,Hard,"April 5, 2023 6:26 PM"
Avoid Mutable Function Arguments,Hard,"April 5, 2023 6:42 PM"
Path Concat with os.path.join() or pathlib,Hard,"April 5, 2023 6:43 PM"
Return Types Must Match,Hard,"April 5, 2023 6:43 PM"
"Class Attributes Defined in Constructor ",Hard,"April 5, 2023 6:43 PM"
Plotting Defaults,Hard,"April 5, 2023 6:44 PM"
Remove Commented Code,Hard,"April 5, 2023 6:45 PM"
String Combinations,Variable,"April 5, 2023 6:41 PM"
Setting Up Directory Paths,Variable,"April 5, 2023 6:42 PM"
"Pandas: Vector, Lambda.apply(), Iterrows Efficiency",Variable,"April 5, 2023 6:42 PM"
Log Not Print,Variable,"April 5, 2023 6:42 PM"
Requirement files must include specific versioning (draft),Variable,"April 5, 2023 6:44 PM"
"Function, Comment, and Argument Lengths",Variable,"April 5, 2023 6:44 PM"
Remove Commented Code / TODOs in Final Push to Master,Variable,"April 5, 2023 6:45 PM"
"Headers with Comments to Separate Code Sections ",Medium,"April 5, 2023 6:46 PM"
Double Inverted Commas for Strings,Medium,"April 5, 2023 6:46 PM"
Avoid Unnecessary Conditionals,Soft,"April 5, 2023 6:26 PM"
